gene_name,gene_index,log2FC,p_value,adj_p_value
RBMX2,8046,1.226577,0.14914417672109323,0.2468631004523313
ELL2,8047,3.866381,1.4688664949923e-05,0.00023507830071359303
ST6GALNAC5,8048,4.563701,2.5469930652291657e-06,6.06018241281157e-05
ENTPD7,8049,1.760097,0.03856653474295774,0.09054931485770593
ADGRE3,8050,-3.536125,0.00017420596027459037,0.0015911134090726496
UBXN8,8051,1.289958,0.12398727544452748,0.214106070249854
BAIAP3,8052,0.300415,0.7493866059575209,0.8286745354719982
CNIH4,8053,1.834226,0.04348163477920953,0.09886581539726116
IGSF9,8054,-2.381633,0.008278686801108165,0.02932897116860852
TBC1D10C,8055,1.041137,0.25505681833163646,0.36627118433935196
ZC3H12C,8056,3.080246,0.0002990444438613523,0.002407631625873519
TMEM91,8057,1.912434,0.014554785284398124,0.044033657096197824
FAM104B,8058,1.008989,0.21075714446346247,0.31693202832414885
ZNF439,8059,1.331795,0.1454058895652908,0.242068736718421
HIST1H2BM,8060,0.654931,0.4679416393323521,0.5688934425477734
POLI,8061,4.15329,5.208946409491314e-06,0.00010579531259112204
PEX7,8062,1.536194,0.08141433095364119,0.15781852586911047
EXOSC5,8063,1.578239,0.0853169973211887,0.16296588755330024
TRIM62,8064,1.951294,0.035714485732228365,0.08544154018344033
CDK12,8065,1.586773,0.08037966477727018,0.15646277796433156
ALPL,8066,-0.12855,0.8901134415028167,0.9472841892311469
HKDC1,8067,-0.801513,0.40510931294538743,0.5066167532888988
PRAF2,8068,4.015879,4.284577560800762e-06,9.175050274493022e-05
MFN1,8069,1.806744,0.03673263000774317,0.08730003715263253
MEPCE,8070,2.142442,0.009409244238214482,0.03219932616589604
MNAT1,8071,1.123494,0.16624578235970633,0.2655109632704962
SKP1,8072,0.823519,0.24795050965117954,0.358338687693507
TMEM176A,8073,4.328939,4.3719361737177785e-06,9.301459455552263e-05
NHEJ1,8074,1.5703,0.06739466385401048,0.1370636960456895
G6PC3,8075,1.171904,0.16978756872820447,0.26908413575049117
DSG3,8076,-0.438036,0.6627657442941093,0.7517501254152943
CDKN2B,8077,2.323173,0.012191954006376956,0.038759671757242604
ANKRD49,8078,1.612218,0.051661781934640015,0.11211596892425016
FGFR1OP2,8079,2.725718,0.00465072538315257,0.019206739089748473
PMVK,8080,1.960149,0.024621576036594924,0.06497919216302164
NIP7,8081,0.85512,0.25344925512413496,0.3646909377862623
ELOVL5,8082,2.4931,0.005376033312200794,0.021388446870908802
DHX57,8083,2.248606,0.010590012894438117,0.03505861939729883
ARHGAP24,8084,4.762633,8.52053228286673e-08,4.371432461061392e-06
EAF2,8085,3.039425,0.0012868164018727008,0.0073315937490093346
CINP,8086,2.373742,0.01083866100447462,0.03561275843936595
GABPA,8087,0.552598,0.38599859783533674,0.4878782559795964
ZNF281,8088,1.171065,0.16868639365463792,0.26813705352509454
RNF138,8089,2.17792,0.008302344001347474,0.02939087674483422
LRWD1,8090,2.572102,0.004625480338305095,0.01913218310832431
TKFC,8091,1.606663,0.05084742465692533,0.11082133636555645
MS4A1,8092,0.309688,0.752424042016828,0.8315199445657446
SMG7,8093,2.003688,0.020143640851293505,0.05594162227394042
ADHFE1,8094,4.01145,2.074868240344113e-05,0.00030732715332302803
IGF1R,8095,2.580048,0.001499019397673139,0.008244606687202265
CDH13,8096,4.51018,5.954363002701186e-07,1.9486196929603998e-05
SERGEF,8097,2.855809,0.0010739363134851156,0.0063631835037110404
C5ORF51,8098,2.692929,0.003197648976409736,0.01460289348267228
CD48,8099,0.490344,0.5823842270626387,0.6783063350494263
HIST1H3A,8100,-0.225288,0.7826295420785201,0.857711810372269
ITM2B,8101,1.126462,0.1090251852380586,0.194222368602495
CARNS1,8102,0.447985,0.6512309016939251,0.7415269907682359
MARK2,8103,2.280436,0.00855577844181516,0.030024472939472833
CC2D1B,8104,0.333041,0.7029873444183232,0.7880258135069921
CDC42EP5,8105,0.575558,0.5273987012133717,0.6267890337578956
METTL23,8106,3.512611,7.615125475305097e-05,0.0008495220101301568
PSMD5,8107,2.433253,0.004524722443640954,0.018798303851153615
C12ORF57,8108,3.896845,2.8257974161425596e-05,0.0003905659113997603
ZNF443,8109,2.260662,0.01686358041632901,0.04897249377684225
PTGIR,8110,4.646227,8.990517301867493e-08,4.565004674332255e-06
UGGT1,8111,2.560576,0.005800100170841671,0.0226497073272055
CD34,8112,4.646946,1.2978866466628795e-06,3.5784737558949335e-05
CBS,8113,2.62142,0.005801530473960138,0.022650802986026293
IL2RG,8114,-0.17006,0.8550613374721494,0.9178642951854638
KLHDC8B,8115,3.001641,0.0002665600631985704,0.002202810320920736
AP2S1,8116,1.597297,0.0644163541269618,0.13252390723219334
STXBP6,8117,2.270193,0.018362587468379096,0.052217282868726414
ENTPD8,8118,1.11919,0.22756730566569155,0.33607972180808016
ENTR1,8119,1.815492,0.02687833004125916,0.06926487640848225
CD300E,8120,0.203412,0.8260720562000814,0.8933658439478401
GSAP,8121,2.340954,0.0032037940541868024,0.014627193431794198
RFT1,8122,1.759858,0.036920621855102385,0.08760365785467568
ZFYVE28,8123,1.268407,0.17014197448543167,0.2694507266348464
HTRA2,8124,2.58654,0.0007416749929853241,0.004789163892757741
PAQR6,8125,0.306781,0.7236529273086975,0.8064192726346879
H6PD,8126,4.356474,2.8811536754405302e-06,6.709409995254597e-05
ANKRD35,8127,4.537717,8.607558564545739e-07,2.6209816272042596e-05
CSTF1,8128,1.563788,0.06912061204421949,0.1396013690480328
CTU2,8129,2.000721,0.011180079402575706,0.03638234957220746
FBXO6,8130,0.892727,0.3080546350746944,0.4252669305309056
ANO7,8131,0.227756,0.8001386238544695,0.8725523651365495
NME3,8132,2.323862,0.003980742419860207,0.017130757189529475
DDX20,8133,2.137994,0.011351001578660985,0.0367685107039132
FOXC1,8134,0.742117,0.4309926525369072,0.5322782569551844
GALK1,8135,2.257893,0.00956219139327572,0.03262073292448917
POLR3A,8136,3.225305,0.00041922273204052506,0.0031296314638313842
ARHGEF17,8137,4.199395,6.997078844465412e-06,0.00013306339602772266
LGR6,8138,1.293344,0.17354086778675115,0.2732956543778405
CZIB,8139,3.78082,2.394913223885577e-05,0.0003433929070143359
MAP3K20,8140,3.077451,0.0006087079850255046,0.004144889804531476
KCTD5,8141,1.504109,0.07101925189772793,0.142508686253528
FLRT2,8142,3.552572,4.213416928909231e-05,0.0005348487559049017
PRRG4,8143,-0.454718,0.5606832769225866,0.6581542149609306
ITPK1,8144,1.39315,0.1206368348714471,0.20976754490753569
RPL36A-HNRNPH2,8145,2.108925,0.01947775520779876,0.05452277001262338
TMUB2,8146,1.080826,0.22280323809578775,0.33080462685395395
C19ORF44,8147,3.303039,0.00021789499334634978,0.0018910789708882982
ZNF250,8148,2.222288,0.01700900231877641,0.04927858157091383
BRPF1,8149,2.305776,0.010054828176083924,0.03378648642282609
PRDM5,8150,1.294474,0.11684333902732945,0.20477987920802576
FOXF2,8151,4.618313,2.1280540465572774e-07,9.035515683453648e-06
PFDN1,8152,0.993109,0.22899352596710404,0.3376292063372187
GCAT,8153,1.884957,0.02405708332579045,0.06377992176038187
ITGA2,8154,0.600965,0.5049735459616786,0.6050323763862194
AMOT,8155,1.547323,0.08428934742928514,0.16170848512068814
CCDC77,8156,0.339014,0.6679867427233588,0.7563657002352372
ARHGAP6,8157,3.495838,7.833042955008962e-05,0.0008689120453639165
CDKN2C,8158,3.022742,0.0012024098084947646,0.00694435997591633
PUS7,8159,2.856272,0.001353937339217074,0.007608077444356981
ISYNA1,8160,3.605965,0.00015522010773693674,0.0014534179384626384
DNAJB5,8161,5.653301,4.5501654888766e-11,1.4183568259454445e-08
SIK2,8162,2.92311,0.0007605900177474732,0.004878882656314079
HNRNPL,8163,1.618151,0.06008945397808946,0.12581808192393884
COQ10A,8164,3.466801,4.576050672961158e-05,0.0005713103568314815
EEF1AKNMT,8165,2.386221,0.0063972122272745145,0.024384695863259306
PLGLB2,8166,1.476439,0.11041858831634929,0.19604704246404048
SMCO4,8167,0.14044,0.8502451696032047,0.9141918290812394
HIST1H2AM,8168,-0.090138,0.9138879341314052,0.9659069844593784
CNTNAP1,8169,4.241202,3.141248762275931e-06,7.187658753263428e-05
PLCG2,8170,2.015304,0.024680926195336784,0.06510094081862765
TRIM7,8171,-0.73693,0.40429255269234754,0.5059049530355653
NFKB2,8172,2.324163,0.010719929764345193,0.03532842694669867
SULT1C4,8173,4.845126,1.3724038464045452e-07,6.403579915547453e-06
IQCG,8174,1.923132,0.03081537214220583,0.07653295467586836
RPS15A,8175,1.707007,0.03974141253725218,0.09259053552464583
LIFR,8176,4.267596,2.515444997171785e-06,6.006882653246222e-05
ANAPC4,8177,3.166606,0.0011715577416382243,0.006810522002955047
RNF126,8178,2.385252,0.006446936719074835,0.024503876313553108
SERPINB1,8179,0.875532,0.2880468031912304,0.40326167165062565
RAB40B,8180,0.913389,0.29560756901048424,0.41151531352992865
ULK4,8181,2.316914,0.009448537082723087,0.032305732222618455
MAPK12,8182,4.184809,7.3898699592565436e-06,0.0001393184957581944
LYPD6B,8183,-1.676361,0.08051270371922997,0.15664207391054588
RANBP3,8184,0.987564,0.21356014484186062,0.3201452148477778
HAL,8185,-0.78678,0.4013263614531113,0.5030698955245765
AVIL,8186,1.856059,0.018293976075113433,0.05209737245675192
SLF2,8187,3.263575,6.861494191538872e-05,0.0007850075323316336
FUZ,8188,0.902266,0.28601547112375647,0.40119549993657
RGL1,8189,2.953681,0.0010747151276311033,0.00636398038156308
TMEM99,8190,2.01906,0.03463896958153243,0.08357897608398902
TUBGCP4,8191,1.898641,0.02330034874546486,0.062407575291907796
HLA-DQA1,8192,5.143824,4.60211955603506e-09,4.533317868672336e-07
HSD17B10,8193,2.488839,0.0032862844731780935,0.014921200831085876
CLCN6,8194,1.591494,0.05284502692342172,0.1141932516637415
INAFM2,8195,3.174174,0.0006210444513767457,0.004200204852925942
DVL2,8196,3.330998,0.00036435434569356205,0.0028083509250817155
NT5DC3,8197,2.57746,0.003731152108513371,0.016345881185195
UBFD1,8198,2.255817,0.00458832634811039,0.019006437633331118
CLUH,8199,2.040755,0.02529345459947297,0.06631787316401305
AQP9,8200,-1.952832,0.04519421000602091,0.10171020462972562
DCAF1,8201,2.138076,0.017036826630103273,0.04933419690677005
PNMA1,8202,2.758768,0.0006009165262074751,0.004104943301946417
SERPINB3,8203,0.846984,0.40454969733934365,0.5061302843260563
CCR4,8204,4.322023,7.735789757617997e-07,2.403829558593567e-05
PLA2G4C,8205,3.678979,3.52024732618174e-05,0.00046331012083827367
TLCD4-RWDD3,8206,1.542297,0.07430499641200121,0.1471091080607814
EPN3,8207,-0.360421,0.6504426516488813,0.7409720527428362
KANSL2,8208,2.894677,0.0018289025433958289,0.009562422772675484
MRM3,8209,3.084344,0.00041779290531469544,0.003121681247868585
AGBL5,8210,2.737963,0.002487996377399323,0.012117680254918184
ZNF280C,8211,1.447338,0.10002136343517082,0.1825232383323731
FAR2,8212,1.944722,0.03323670527924016,0.08089372123440255
HAUS2,8213,1.707493,0.04440927515635839,0.1004255199558559
HIST1H2BL,8214,0.977101,0.28620924902944744,0.40133640096102285
ROGDI,8215,1.360939,0.12942264292286781,0.22123691871786716
SHANK3,8216,2.488064,0.008187376998387563,0.029131210808241534
TWIST2,8217,4.929477,5.00421290088491e-08,2.9047408981350753e-06
LYPD2,8218,1.0682,0.2892796953156815,0.4045070109599149
LHFPL2,8219,2.175122,0.01626492053016087,0.047740643528709666
PLA2G4B,8220,2.586149,0.0028597282093283526,0.013375950962008042
C1QA,8221,3.796854,2.7524304913943286e-05,0.0003831130213576239
ZNF773,8222,1.680131,0.04171431641169865,0.09609608835674403
CD22,8223,-0.779913,0.4065665364346315,0.5079761120179271
TNFRSF11A,8224,0.293012,0.7703580282597844,0.8464955724948314
MOSMO,8225,2.739806,0.002485576654532388,0.012108888642666316
MRPS18C,8226,1.153972,0.15466081401376375,0.2539567175266844
OVOL1,8227,-0.454606,0.6474577722560761,0.7382974805357965
ZBTB37,8228,1.399319,0.12319372385948658,0.21309862478756716
C6ORF203,8229,2.039184,0.016993388139482833,0.04925507425863636
CLEC4E,8230,0.761721,0.41082203196446,0.5122534716285966
PPHLN1,8231,2.766171,0.002464440414708785,0.012017807081727172
